
###################################################################################
Logfile created by ME7-Logger v1.20 (c) mki, 12/2010-07/2013

Used EcuDefinition file: 551K_scaled.ecu

ECU identified with following data:
HWNumber    = 0261207001       (requested was 0261207001)
SWNumber    = 1037360387       (requested was 1037360387)
PartNumber  = 8D0907551K       (requested was 8D0907551K)
SWVersion   = 0001             (requested was 0001)
EngineId    = 2.7l V6/5VT      (requested was 2.7l V6/5VT)
VAGHWNumber = 
ModelId     = G

Log packet size: 146 bytes
Logging with:    20 samples/second
Used speed is:   56000 baud
Used mode is:    HM0
Log started at:  31.10.2021 15:27:25.370

TimeStamp, nmot_w    , mshfm_w   , msdk_w    , uhfm_w    , gangi     , vfzg      , wped_w    , wdkba     , ub        , perffilt_w, plsol_w   , pvdkds_w  , plsolr_w  , pvdkdsl_w , pssol_w   , ps_w      , pvdk_w    , pu_w      , frxt      , frxta_w   , vpssplg_w , lde       , ldtvm     , ldtvr_w   , lditv_w   , ldptv     , ldrdtv    , ldimn_w   , ldimx_w   , ldimxak_w , ldrlts_w  , ldrlms_w  , ldimxa_0  , ldimxa_1  , ldimxa_2  , ldimxa_3  , ldimxa_4  , rl_w      , rlsol_w   , rlmax_w   , rlmx_w    , lamsbg_w  , lamsbg2_w , lamfa_w   , lamfawkr_w, ti_b1     , ti_b2     , usvk      , usvk2     , fr_w      , fr2_w     , uuhsk2_w  , zwgru     , zwist     , zwopt     , zwout     , zwnws     , zwsol     , wkrm      , wkrma     , dwkrz_0   , dwkrz_1   , dwkrz_2   , dwkrz_3   , dwkrz_4   , dwkrz_5   , rkrn_w_0  , rkrn_w_1  , rkrn_w_2  , rkrn_w_3  , rkrn_w_4  , rkrn_w_5  , wnwi_w    , wnwi2_w   , fnwue     , fzabg_w_0 , fzabg_w_1 , fzabg_w_2 , fzabg_w_3 , fzabg_w_4 , fzabg_w_5 , fzabgs_w  , tanslin   , tmot      , tmki      , te_w      , tsrldyn   
  sec.ms , rpm       , g/s       , g/s       , V         , gear      , km/h      , PED     , DK      , V         , , mbar      , mbar      , mbar      , mbar      , mbar      , mbar      , mbar      , mbar      , -         , -         , -         , mBar      , , , , , , , , , , , , , , , , , , , , -         , -         , -         , -         , ms        , ms        , V         , V         , -         , -         ,           , °KW       , °KW       , °KW       , °KW       , °KW       , °KW       , °KW       , °KW       , °KW       , °KW       , °KW       , °KW       , °KW       , °KW       , V         , V         , V         , V         , V         , V         , °KW       , °KW       , -         , #         , #         , #         , #         , #         , #         , #         , °C        , °C        , °C        , ms        , ms        
"TIME","EngineSpeed","MassAirFlow","MassAirFlowAtThrottlePlate","MAFSensorVoltage","SelectedGear","VehicleSpeed","AccelPedalPosition","ThrottlePlateAngle","BatteryVoltage","CPU-Load","BoostPressureDesired","BoostPressureActual","","","","","","BaroPressure","LoadCorrectFactorCoolantTemp","LoadCorrectFactorIntakeTemp","","","WastegateDutyCycle","WastegateDutyCycleBeforeLin","BoostPID-I-Result","BoostPID-P-Result","BoostPID-D-Result","BoostPID-I-Min","BoostPID-I-Max","ChargeLimitPID-I","ChargeLimitTurboProtection","ChargeLimitEngineProtection","BoostCorrectFactorPID-IRange1","BoostCorrectFactorPID-IRange2","BoostCorrectFactorPID-IRange3","BoostCorrectFactorPID-IRange4","BoostCorrectFactorPID-IRange5","EngineLoad","EngineLoadRequested","EngineLoadCorrected","EngineLoadSpecified","AirFuelRatioDesired","AirFuelRatioDesiredBank2","TargetAFRDriverRequest","KnockLambda","FuelInjectorOnTime","FuelInjectorOnTimeBank2","O2SVoltageSensor1","O2SVoltageSensor1Bank2","LambdaControl","LambdaControlBank2","WidebandBank2","","IgnitionTimingAngle","","IgnitionTimingAngleOverall","","","AvgIgnitionRetardKnockControl","AvgIgnitionRetardKnockControl","IgnitionRetardCyl1","IgnitionRetardCyl5","IgnitionRetardCyl3","IgnitionRetardCyl2","IgnitionRetardCyl6","IgnitionRetardCyl4","KnockVoltageCyl1","KnockVoltageCyl5","KnockVoltageCyl3","KnockVoltageCyl2","KnockVoltageCyl6","KnockVoltageCyl4","CamshaftAngle","CamshaftAngleBank2","","CountMisfireCyl1","CountMisfireCyl5","CountMisfireCyl3","CountMisfireCyl2","CountMisfireCyl6","CountMisfireCyl4","CountMisfireTotal","IntakeAirTemperature","CoolantTemperature","","EffInjectionTime","Dwell time"
    0.000, 808       , 7.33334   , 7.30556   , 1.31348   , 0         , 0         , 0         , 2.35294   , 13.5168   , 74.975    , 1001.09   , 993.828   , 0         , 993.828   , 481.25    , 474.453   , 1019.61   , 1001.09   , 1         , 1.02216   , 0.481324  , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 220.828   , 220.828   , 0         , 0         , 0         , 0         , 0         , 31.3359   , 31.8516   , 112.43    , 110.016   , 1         , 1         , 1         , 1         , 1.92267   , 1.94134   , 0.728393  , 0.086863  , 0.89676   , 0.916779  , 15.3812   , 21        , 0         , 21.75     , 0         , 21        , 0         , -0        , -0        , 0         , 0         , 0         , 0         , 0         , 0         , 0.566408  , 0.585939  , 0.488283  , 1.05469   , 0.507814  , 0.566408  , -0.125    , 0.296875  , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 26.25     , 93.75     , 69.75     , 0.720001  , 3         
    0.080, 809       , 7.30556   , 7.30556   , 1.31348   , 0         , 0         , 0         , 2.35294   , 13.5168   , 75.15     , 1001.09   , 993.828   , 0         , 993.828   , 480.234   , 472.969   , 1019.45   , 1001.09   , 1         , 1.02216   , 0.479981  , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 220.828   , 220.828   , 0         , 0         , 0         , 0         , 0         , 31.1953   , 31.7578   , 112.43    , 110.016   , 1         , 1         , 1         , 1         , 1.91734   , 1.936     , 0.723177  , 0.165098  , 0.894074  , 0.919465  , 15.3715   , 20.25     , -0.75     , 21.75     , -0.75     , 20.25     , -0.75     , -0        , -0        , 0         , 0         , 0         , 0         , 0         , 0         , 0.566408  , 0.585939  , 0.488283  , 1.05469   , 0.507814  , 0.566408  , 0.078125  , 0.296875  , 0.00390625, 0         , 0         , 0         , 0         , 0         , 0         , 0         , 26.25     , 93.75     , 69.75     , 0.714668  , 3         
    0.130, 797       , 7.27778   , 7.30556   , 1.31836   , 0         , 0         , 0         , 2.35294   , 13.5168   , 75.275    , 1001.02   , 993.828   , 0         , 993.828   , 479.531   , 473.203   , 1019.45   , 1001.02   , 1         , 1.02216   , 0.478699  , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 220.828   , 220.828   , 0         , 0         , 0         , 0         , 0         , 31.2188   , 31.7109   , 112.43    , 110.016   , 1         , 1         , 1         , 1         , 1.92      , 1.94134   , 0.660589  , 0.185961  , 0.892396  , 0.921143  , 15.3715   , 19.5      , 0.75      , 21        , 0.75      , 19.5      , 0.75      , -0        , -0        , 0         , 0         , 0         , 0         , 0         , 0         , 0.585939  , 0.566408  , 0.488283  , 1.05469   , 0.527345  , 0.566408  , 0.078125  , 0.171875  , 0.00390625, 0         , 0         , 0         , 0         , 0         , 0         , 0         , 26.25     , 93.75     , 69.75     , 0.717334  , 3         
    0.180, 801.25    , 7.36112   , 7.30556   , 1.30859   , 0         , 0         , 0         , 2.35294   , 13.5168   , 75.6      , 1001.02   , 993.828   , 0         , 993.828   , 482.422   , 474.609   , 1020.08   , 1001.02   , 1         , 1.02216   , 0.482544  , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 220.828   , 220.828   , 0         , 0         , 0         , 0         , 0         , 31.3359   , 31.9453   , 112.43    , 110.016   , 1         , 1         , 1         , 1         , 1.92      , 1.94667   , 0.44153   , 0.40502   , 0.915955  , 0.922822  , 15.3519   , 20.25     , 0         , 21.75     , 0         , 20.25     , 0         , -0        , -0        , 0         , 0         , 0         , 0         , 0         , 0         , 0.585939  , 0.566408  , 0.488283  , 1.05469   , 0.527345  , 0.566408  , -0.109375 , 0.171875  , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 26.25     , 93.75     , 69.75     , 0.717334  , 3         
    0.230, 807.25    , 7.47223   , 7.30556   , 1.31348   , 0         , 0         , 0         , 2.35294   , 13.5168   , 75.7      , 1001.09   , 993.828   , 0         , 993.828   , 483.125   , 474.531   , 1020.39   , 1001.09   , 1         , 1.02216   , 0.482239  , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 220.828   , 220.828   , 0         , 0         , 0         , 0         , 0         , 31.3359   , 31.9922   , 112.43    , 110.016   , 1         , 1         , 1         , 1         , 1.94134   , 1.92534   , 0.185961  , 0.712746  , 0.917634  , 0.896577  , 15.3031   , 21        , 0         , 21.75     , 0         , 21        , 0         , -0        , -0        , 0         , 0         , 0         , 0         , 0         , 0         , 0.585939  , 0.566408  , 0.468751  , 1.01563   , 0.507814  , 0.546876  , -0.109375 , 0.171875  , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 26.25     , 93.75     , 69.75     , 0.738668  , 3         
    0.280, 803       , 7.47223   , 7.30556   , 1.31348   , 0         , 0         , 0         , 2.35294   , 13.5168   , 75.95     , 1001.09   , 993.828   , 0         , 993.828   , 479.063   , 475.313   , 1021.02   , 1001.09   , 1         , 1.02216   , 0.478638  , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 220.828   , 220.828   , 0         , 0         , 0         , 0         , 0         , 31.3828   , 31.6875   , 112.43    , 110.016   , 1         , 1         , 1         , 1         , 1.94667   , 1.92534   , 0.086863  , 0.733609  , 0.919648  , 0.894562  , 15.3031   , 21        , 0         , 21.75     , 0         , 21        , 0         , -0        , -0        , 0         , 0         , 0         , 0         , 0         , 0         , 0.585939  , 0.566408  , 0.468751  , 1.01563   , 0.507814  , 0.546876  , -0.109375 , 0.171875  , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 26.25     , 93.75     , 69.75     , 0.744001  , 3         
    0.330, 804.25    , 7.22223   , 7.30556   , 1.30859   , 0         , 0         , 0         , 2.35294   , 13.5168   , 76.1      , 1001.09   , 993.828   , 0         , 993.828   , 480       , 474.688   , 1021.33   , 1001.09   , 1         , 1.02216   , 0.479431  , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 220.828   , 220.828   , 0         , 0         , 0         , 0         , 0         , 31.3359   , 31.7578   , 112.43    , 110.016   , 1         , 1         , 1         , 1         , 1.94134   , 1.92      , 0.0816473 , 0.754471  , 0.920991  , 0.89322   , 15.3031   , 21        , 0         , 21.75     , 0         , 21        , 0         , -0        , -0        , 0         , 0         , 0         , 0         , 0         , 0         , 0.585939  , 0.585939  , 0.488283  , 1.05469   , 0.507814  , 0.546876  , 0.03125   , 0.171875  , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 26.25     , 93.75     , 69.75     , 0.738668  , 3         
    0.382, 810.25    , 7.36112   , 7.30556   , 1.31348   , 0         , 0         , 0         , 2.35294   , 13.5168   , 76.325    , 1001.09   , 993.828   , 0         , 993.828   , 479.766   , 474.141   , 1021.09   , 1001.09   , 1         , 1.02216   , 0.477661  , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 220.805   , 220.805   , 0         , 0         , 0         , 0         , 0         , 31.2891   , 31.7344   , 112.43    , 110.016   , 1         , 1         , 1         , 1         , 1.94134   , 1.92      , 0.0816473 , 0.764903  , 0.922669  , 0.891541  , 15.3031   , 21        , -0.75     , 21.75     , -0.75     , 21        , -0.75     , -0        , -0        , 0         , 0         , 0         , 0         , 0         , 0         , 0.585939  , 0.585939  , 0.488283  , 1.05469   , 0.507814  , 0.546876  , 0.03125   , 0.171875  , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 26.25     , 93.75     , 69.75     , 0.738668  , 3         
